SampleName	SampleID	occurence
3271	GB01018123S	51451
9359	GB01002993S	19942
6430	GB01001698S	31426
10145	GB01009825S	17717
15767	GB01024329S	6997
11056	GB01008726S	15109
17446	GB01024256S	2193
9063	GB01023255S	20860
4716	GB01021436S	40822
9155	GB01001785S	20550
9259	GB01015867S	20254
10268	GB01022787S	17370
12023	GB01010233S	12913
14905	GB01012171S	8798
9575	GB01015792S	19362
7513	GB01016088S	26430
8014	GB01009631S	24543
7599	GB01022886S	26094
11109	GB01007334S	15004
17345	GB01021170S	2403
5687	GB01011485S	35264
3955	GB01008563S	45908
398	GB01001606S	176831
16956	GB01007342S	3524
4759	GB01023284S	40617
12749	GB01009140S	11796
17070	GB01021570S	3184
12060	GB01011101S	12833
17552	GB01020701S	1941
8689	GB01009242S	22097
3011	GB01016305S	54030
2925	GB01018166S	54784
8101	GB01008349S	24168
5468	GB01017529S	36600
17250	GB01017326S	2647
15313	GB01011038S	8012
3330	GB01012892S	50990
15205	GB01017286S	8239
13940	GB01020023S	10249
14869	GB01020054S	8875
1669	GB01003427S	80066
2267	GB01016290S	63867
12410	GB01010208S	12277
10214	GB01009496S	17512
12740	GB01008766S	11801
3764	GB01016530S	47313
3587	GB01016855S	48732
11866	GB01002935S	13245
2449	GB01020493S	60694
12655	GB01011173S	11913
11492	GB01018907S	14020
981	GB01003326S	116000
6128	GB01011324S	32853
2422	GB01008604S	61027
18221	GB01020886S	891
7324	GB01022945S	27204
11579	GB01023716S	13815
9956	GB01001632S	18297
3700	GB01016327S	47829
14194	GB01019507S	9859
18257	GB01021903S	834
18762	GB01004446S	1
15554	GB01000145S	7530
3183	GB01023864S	52315
2898	GB01023578S	55108
15480	GB01013825S	7696
6266	GB01022143S	32195
15650	GB01011388S	7291
6539	GB01022112S	30832
9993	GB01009280S	18176
16548	GB01002015S	4899
18322	GB01020614S	728
9576	GB01008367S	19360
16355	GB01001598S	5500
10762	GB01003180S	15988
14721	GB01016884S	9135
14357	GB01019813S	9648
2661	GB01017988S	57775
11616	GB01019842S	13756
6396	GB01023320S	31558
1091	GB01000023S	109097
6620	GB01023425S	30476
6228	GB01017752S	32360
17240	GB01022778S	2672
7091	GB01009806S	28169
16923	GB01017376S	3640
18421	GB01021818S	614
3949	GB01024103S	45923
2022	GB01000072S	70013
10652	GB01010010S	16355
16181	GB01003075S	6011
8361	GB01011910S	23246
782	GB01000472S	133125
8809	GB01008929S	21701
1941	GB01010619S	71846
12351	GB01015565S	12358
5710	GB01016443S	35083
4824	GB01008494S	40279
422	GB01003756S	173719
13087	GB01013752S	11360
1464	GB01003418S	89374
13035	GB01010319S	11437
7061	GB01016050S	28283
17364	GB01017314S	2364
6670	GB01000585S	30217
4579	GB01012265S	41624
10874	GB01019182S	15686
8513	GB01023195S	22658
1432	GB01003505S	91100
8362	GB01015772S	23244
7412	GB01000880S	26836
7706	GB01010571S	25673
5056	GB01000639S	39073
12258	GB01011879S	12497
15053	GB01019368S	8551
10291	GB01010074S	17296
1654	GB01003558S	80849
299	GB01002800S	195344
11967	GB01007301S	13053
9331	GB01012675S	20014
12196	GB01015343S	12601
2367	GB01024007S	61867
5488	GB01008509S	36484
2866	GB01018125S	55467
1499	GB01015371S	87286
3531	GB01018110S	49223
3654	GB01012352S	48272
17667	GB01020748S	1703
9748	GB01009271S	18906
7521	GB01010699S	26391
6906	GB01010662S	29017
7966	GB01010942S	24742
9383	GB01010935S	19881
18636	GB01023057S	310
2399	GB01015538S	61293
4793	GB01017490S	40420
12489	GB01016719S	12149
827	GB01000826S	128890
14405	GB01019430S	9578
4002	GB01010484S	45603
6096	GB01012243S	33039
1804	GB01008272S	75672
5466	GB01012292S	36605
5712	GB01016808S	35075
12022	GB01019079S	12913
10731	GB01009165S	16119
14904	GB01013740S	8799
5208	GB01012238S	38099
15649	GB01007303S	7295
10211	GB01009312S	17534
15979	GB01013880S	6557
14541	GB01017324S	9363
15196	GB01011314S	8258
4425	GB01023512S	42646
15119	GB01018779S	8412
17417	GB01021770S	2247
14620	GB01018762S	9255
4652	GB01017967S	41203
12901	GB01019215S	11607
4478	GB01021328S	42299
10654	GB01003124S	16353
5036	GB01012742S	39202
7327	GB01023203S	27202
17261	GB01020630S	2614
14572	GB01010980S	9316
12452	GB01010771S	12198
16542	GB01013847S	4905
4337	GB01023104S	43229
2093	GB01011719S	68481
6215	GB01020289S	32449
461	GB01001274S	168440
14216	GB01007756S	9821
18148	GB01009387S	1015
13282	GB01018720S	11106
4936	GB01018187S	39692
3721	GB01004188S	47652
11605	GB01009436S	13766
7081	GB01012471S	28222
17596	GB01001506S	1821
4434	GB01022238S	42586
10577	GB01009078S	16558
8585	GB01015609S	22442
2854	GB01016488S	55619
1872	GB01007979S	73777
8706	GB01009731S	22047
4622	GB01013133S	41373
9755	GB01020384S	18891
7347	GB01001700S	27129
13624	GB01004748S	10663
789	GB01001005S	132665
10585	GB01008965S	16519
12030	GB01013294S	12900
5263	GB01010757S	37782
15868	GB01016974S	6780
6918	GB01003276S	28966
14085	GB01018537S	10050
3515	GB01017790S	49344
16469	GB01019643S	5138
17603	GB01008724S	1812
17587	GB01021603S	1852
9092	GB01009819S	20757
10469	GB01016110S	16822
1196	GB01015239S	102364
10007	GB01008794S	18130
7204	GB01011375S	27734
17746	GB01001760S	1562
1848	GB01007815S	74330
1077	GB01003563S	109665
14183	GB01020263S	9879
5430	GB01012338S	36807
2847	GB01011367S	55737
12073	GB01012417S	12800
14074	GB01018542S	10065
11797	GB01015830S	13374
1873	GB01008589S	73667
8641	GB01008173S	22281
17401	GB01007485S	2282
193	GB01000489S	223580
8566	GB01008912S	22500
8199	GB01009310S	23833
4469	GB01017434S	42361
15636	GB01002863S	7318
15475	GB01002067S	7705
3428	GB01007768S	50135
17807	GB01021126S	1464
5586	GB01021408S	35874
11060	GB01004690S	15106
14340	GB01019601S	9666
5681	GB01022746S	35281
916	GB01002814S	121209
3022	GB01020530S	53925
2114	GB01017535S	68040
18091	GB01020587S	1091
839	GB01001109S	127746
13244	GB01018813S	11170
3478	GB01021477S	49672
11993	GB01000561S	12981
18617	GB01019648S	356
5940	GB01023378S	33825
2894	GB01020565S	55168
3057	GB01017870S	53562
16132	GB01002039S	6194
13342	GB01009454S	11021
3060	GB01011664S	53551
14763	GB01002080S	9051
17933	GB01020868S	1284
12226	GB01024320S	12553
10832	GB01012643S	15779
4879	GB01008672S	40026
13751	GB01009620S	10503
6271	GB01001684S	32168
7467	GB01016601S	26661
16867	GB01001383S	3819
18030	GB01021847S	1166
6470	GB01023656S	31245
17777	GB01012544S	1517
3098	GB01011559S	53089
16389	GB01017017S	5407
7963	GB01022160S	24749
18754	GB01007793S	2
17194	GB01021039S	2810
5666	GB01023278S	35330
1214	GB01003486S	101388
4109	GB01015894S	44803
3926	GB01008476S	46052
8147	GB01009222S	23997
1635	GB01022760S	81855
2098	GB01016568S	68291
3167	GB01001516S	52478
1073	GB01024291S	109994
3751	GB01007568S	47447
5934	GB01021488S	33857
1965	GB01021455S	71421
1064	GB01003798S	110445
7704	GB01009178S	25676
17566	GB01020955S	1905
13454	GB01024477S	10894
16421	GB01001189S	5290
221	GB01002736S	214779
17724	GB01021178S	1599
7795	GB01015901S	25386
7152	GB01015996S	27945
6580	GB01013000S	30649
12527	GB01018677S	12100
2786	GB01008654S	56323
7980	GB01010092S	24682
5192	GB01021345S	38147
10608	GB01010029S	16479
16856	GB01007322S	3853
5925	GB01022203S	33888
8687	GB01011113S	22098
10377	GB01012390S	17044
18334	GB01022992S	712
12055	GB01004177S	12847
1272	GB01008006S	98156
726	GB01000200S	139282
14143	GB01019203S	9955
4742	GB01022095S	40702
13977	GB01015691S	10211
8978	GB01016776S	21110
1331	GB01000809S	95257
5512	GB01010412S	36361
15366	GB01002177S	7910
18056	GB01021111S	1138
8363	GB01003580S	23242
1981	GB01012152S	71011
822	GB01003285S	129077
12809	GB01018578S	11724
16211	GB01002253S	5926
17619	GB01012543S	1780
14498	GB01016990S	9421
13800	GB01002918S	10446
11959	GB01009440S	13071
13347	GB01001570S	11015
4762	GB01018020S	40586
539	GB01000037S	158114
11423	GB01009520S	14166
16386	GB01003721S	5413
5662	GB01024051S	35346
7427	GB01000384S	26769
6722	GB01010829S	29954
6027	GB01023533S	33341
7011	GB01011897S	28529
18691	GB01017389S	154
1960	GB01011691S	71580
6467	GB01013306S	31271
